Acronym,Name,City,Country,"Submission deadline","Start date","End date",Conference,Workshop
"ICIIC 2018","ICIIC--Ei and Scopus  2018 : 2018 International Conference on Integrated Intelligent Computing (ICIIC 2018)--IEEE Xplore, Ei Compendex and Scopus",Singapore,Category:Singapore,"15 October 2017 12:00:00","1 March 2018 12:00:00","3 March 2018 12:00:00",true,false
"ICIAS 2018","ICIAS--Ei  2018 : 2018 International Conference on Intelligent Autonomous Systems (ICIAS 2018)--Ei Compendex and Scopus",Singapore,Category:Singapore,"15 October 2017 12:00:00","1 March 2018 12:00:00","3 March 2018 12:00:00",true,false
"CSPA 2018","CSPA  2018 : 14th IEEE Colloquium on Signal Processing and its Applications (CSPA 2018)","Shah Alam",Category:Malaysia,"27 November 2017 12:00:00","9 March 2018 12:00:00","10 March 2018 12:00:00",true,false
"ICMEI 2018","ICMEI  2018 : 2018 6th International Conference on Management and Education Innovation (ICMEI 2018)",Honolulu,Category:Hawaii,"10 November 2017 12:00:00","9 March 2018 12:00:00","11 March 2018 12:00:00",true,false
"ICBDE 2018","ICBDE--EI and Scopus  2018 : 2018 International Conference on Big Data and Education (ICBDE 2018)--EI Compendex and Scopus",Honolulu,Category:Hawaii,"10 November 2017 12:00:00","9 March 2018 12:00:00","11 March 2018 12:00:00",true,false
"ICBDA 2018","Ei - ICBDA - IEEE  2018 : 2018 IEEE 3rd International Conference on Big Data Analysis (ICBDA 2018)--IEEE Xplore and Ei Compendex",Shanghai,Category:China,"5 January 2018","9 March 2018","12 March 2018",true,false
"ICIAI 2018","ACM - ICIAI  2018 : ACM--2018 2nd International Conference on Innovation in Artificial Intelligence (ICIAI 2018)--Ei Compendex, Scopus, and ISI",Shanghai,Category:China,"15 November 2017 12:00:00","9 March 2018 12:00:00","12 March 2018 12:00:00",true,false
"CSEDU 2018","CSEDU  2018 : 10th International Conference on Computer Supported Education",Funchal,Category:Portugal,"16 October 2017 12:00:00","15 March 2018 12:00:00","17 March 2018 12:00:00",true,false
"SMARTGREENS 2018","SMARTGREENS  2018 : 7th International Conference on Smart Cities and Green ICT Systems",Funchal,Category:Portugal,"16 October 2017 12:00:00","16 March 2018 12:00:00","18 March 2018 12:00:00",true,false
"ICKEM 2018","KEM - ICKEM  2018 : KEM - The 8th International Conference on Key Engineering Materials (ICKEM 2018)--Scopus & Ei Compendex",Osaka,Category:Japan,"30 October 2017 12:00:00","16 March 2018 12:00:00","18 March 2018 12:00:00",true,false
"ICMIP 2018","ICMIP - Ei & Scopus  2018 : 2018 the 3rd International Conference on Multimedia and Image Processing (ICMIP 2018)--Ei Compendex and Scopus",Guiyang,Category:China,"10 November 2017 12:00:00","16 March 2018 12:00:00","19 March 2018 12:00:00",true,false
"ICMMME 2018","Ei--ICMMME--Scopus  2018 : 2018 The 3rd International Conference on Manufacturing, Material and Metallurgical Engineering (ICMMME 2018)--EI Compendex, Scopus","Kuala Lumpur",Category:Malaysia,"5 November 2017 12:00:00","17 March 2018 12:00:00","19 March 2018 12:00:00",true,false
"ICCSP 2018","ICCSP - Ei  2018 : 2018 the 2nd International Conference on Cryptography, Security and Privacy (ICCSP 2018)--Ei Compendex and Scopus",Guiyang,Category:China,"10 November 2017 12:00:00","16 March 2018 12:00:00","19 March 2018 12:00:00",true,false
"CODASPY 2018","CODASPY  2018 : Conference on Data and Application Security and Privacy",Tempe,Category:USA,"5 September 2017 12:00:00","19 March 2018 12:00:00","21 March 2018 12:00:00",true,false
"CLOSER 2018","CLOSER  2018 : 8th International Conference on Cloud Computing and Services Science",Funchal,Category:Portugal,"16 October 2017 12:00:00","19 March 2018 12:00:00","21 March 2018 12:00:00",true,false
"IoTBDS 2018","IoTBDS  2018 : 3rd International Conference on Internet of Things, Big Data and Security",Funchal,Category:Portugal,"16 October 2017 12:00:00","19 March 2018 12:00:00","21 March 2018 12:00:00",true,false
"NPSE 2018","NPSE  2018 : New Perspectives in Science Education 7th edition International Conference",Florence,Category:Italy,"22 November 2017 12:00:00","22 March 2018 12:00:00","23 March 2018 12:00:00",true,false
"ENASE 2018","ENASE  2018 : 13th International Conference on Evaluation of Novel Approaches to Software Engineering",Funchal,Category:Portugal,"18 October 2017 12:00:00","23 March 2018 12:00:00","24 March 2018 12:00:00",true,false
"ICEIS 2018","ICEIS  2018 : 20th International Conference on Enterprise Information Systems",Funchal,Category:Portugal,"18 October 2017 12:00:00","21 March 2018 12:00:00","24 March 2018 12:00:00",true,false
"ICIAE 2018","ICIAE  2018 : The 6th IIAE International Conference on Industrial Application Engineering 2018",Okinawa,Category:Japan,"24 November 2017 12:00:00","27 March 2018 12:00:00","31 March 2018 12:00:00",true,false
"SMGSSP 2017","SMGSSP  2017: Smart Micro-Grid Systems Security and Privacy",,Category:Germany,"15 June 2017 00:00:00","15 October 2016 00:00:00","31 March 2018 23:59:59",true,false
"SAC 2018","The 33rd ACM/SIGAPP Symposium On Applied Computing",Pau,Category:France,"25 September 2017","9 April 2018","13 April 2018",true,false
"ICPE 2018","ICPE  2018 : 9th ACM/SPEC International Conference on Performance Engineering",Berlin,Category:Germany,"16 October 2017 12:00:00","9 April 2018 12:00:00","13 April 2018 12:00:00",true,false
"INNS-BDDL 2018","INNS-BDDL  2018 : The 3rd INNS Conference on Big Data and Deep Learning 2018",Bali,Category:Indonesia,"2 November 2017 12:00:00","17 April 2018 12:00:00","19 April 2018 12:00:00",true,false
"ICCAR 2018","IEEE-ICCAR-Ei & SCOPUS  2018 : (IEEE-ICCAR 2018) 2018 The 4th International Conference on Control, Automation and Robotics--Ei Compendex & SCOPUS",Auckland,"Category:New Zealand","20 November 2017 12:00:00","20 April 2018 12:00:00","22 April 2018 12:00:00",true,false
"LDOW 2018","The 11th Workshop on Linked Data on the Web",Lyon,Category:France,"29 January 2018","23 April 2018","23 April 2018",false,true
"ICMEAE 2018","ICMEAE--Ei & Scopus  2018 : 2018 5th International Conference on Mechatronics, Electronics and Automation Engineering (ICMEAE 2018)--Ei Compendex and Scopus",Nagoya,Category:Japan,"20 December 2017 12:00:00","20 April 2018 12:00:00","23 April 2018 12:00:00",true,false
"SAVE-SD 2018","Semantics, Analytics, Visualisation: Enhancing Scholarly Dissemination",Lyon,Category:France,"2 February 2018,26 January 2018","24 April 2018","24 April 2018",false,true
"WWW 2018","27th The Web Conference",Lyon,Category:France,"31 October 2017","23 April 2018","27 April 2018",true,false
"ICPRAI 2018","ICPRAI  2018 : International Conference on Pattern Recognition and Artificial Intelligence",Montreal,Category:Canada,"15 November 2017 12:00:00","14 May 2018 12:00:00","17 May 2018 12:00:00",true,false
"FoIKS 2018","FoIKS  2018 : 10th International Symposium on Foundations of Information and Knowledge Systems",Budapest,Category:Hungary,"24 November 2017 12:00:00","14 May 2018 12:00:00","18 May 2018 12:00:00",true,false
"ESWC 2018","15th European Semantic Web Symposium (ESWS)",Crete,Category:Greece,"12 January 2018","3 June 2018","7 June 2018",true,false
"ICAISC 2018","ICAISC  2018 : International Conference on Artificial Intelligence and Soft Computing",Zakopane,Category:Poland,"20 November 2017 12:00:00","3 June 2018 12:00:00","7 June 2018 12:00:00",true,false
"ICWE 2018","The 18th International Conference On Web Engineering",Cáceres,Category:Spain,"26 January 2018","5 June 2018","8 June 2018",true,false
"ACL 2018","56th Annual Meeting of the Association for Computational Linguistics",Melbourne,Category:Australia,,"15 July 2018","20 June 2018",true,false
"WIMS 2018","8th International Conference on Web Intelligence, Mining and Semantics","Novi Sad",Category:Serbia,"25 January 2018","25 June 2018","27 June 2018",true,false
"ICML 2018","The 35th International Conference on Machine Learning",Stockholm,Category:Sweden,"9 February 2018","10 July 2018","15 July 2018",true,false
"ECAI 2018","Artificial Intelligence",Stockholm,Category:Sweden,"31 January 2018","13 July 2018","19 July 2018",true,false
"TPDL 2018","22nd International Conference on Theory and Practice of Digital Libraries",Porto,Category:Portugal,,"18 September 2018","21 September 2018",true,false
"METANANO 2018","International Conference on Metamaterials and Nanophotonics",Sochi,Category:Russia,"30 March 2018","17 September 2018","21 September 2018",true,false
"ISWC 2018","17th International Semantic Web Conference",Monterey,Category:USA,"6 April 2018","8 October 2018","12 October 2018",true,false
"ICDT 2017","International Conference on Database Theory",Venice,Category:Italy,,"21 March 2017","24 March 2917",true,false
